,ActionDay,AskPrice1,AskPrice2,AskPrice3,AskPrice4,AskPrice5,AskVolume1,AskVolume2,AskVolume3,AskVolume4,AskVolume5,AveragePrice,BidPrice1,BidPrice2,BidPrice3,BidPrice4,BidPrice5,BidVolume1,BidVolume2,BidVolume3,BidVolume4,BidVolume5,ClosePrice,CurrDelta,ExchangeID,ExchangeInstID,HighestPrice,InstrumentID,LastPrice,LowerLimitPrice,LowestPrice,OpenInterest,OpenPrice,PreClosePrice,PreDelta,PreOpenInterest,PreSettlementPrice,SettlementPrice,TradingDay,Turnover,UpdateMillisec,UpdateTime,UpperLimitPrice,Volume,_id,recordTime
0,20190507,4888.0,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,3.0,0.0,0.0,0.0,0.0,977520.0,4881.6,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.0,0.0,0.0,0.0,0.0,1.7976931348623157e+308,1.7976931348623157e+308,,,4887.6,IC1905,4887.6,4320.2,4887.6,64651.0,4887.6,4810.0,0.0,64729.0,4800.2,1.7976931348623157e+308,20190507,140762880.0,5280.2,09:29:00,5280.2,144.0,5cd0df5d1135d30f8c04784d,2019-05-07 09:29:01.256
1,20190507,4892.4,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,20.0,0.0,0.0,0.0,0.0,977588.1422924901,4891.0,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,2.0,0.0,0.0,0.0,0.0,1.7976931348623157e+308,1.7976931348623157e+308,,,4891.6,IC1905,4891.0,4320.2,4877.6,64630.0,4887.6,4810.0,0.0,64729.0,4800.2,1.7976931348623157e+308,20190507,247329800.0,5280.2,09:30:01,5280.2,253.0,5cd0df9b1135d30f8c0492fb,2019-05-07 09:30:01.870
2,20190507,4891.8,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,2.0,0.0,0.0,0.0,0.0,977626.3291139241,4887.6,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,2.0,0.0,0.0,0.0,0.0,1.7976931348623157e+308,1.7976931348623157e+308,,,4892.0,IC1905,4890.6,4320.2,4877.6,64585.0,4887.6,4810.0,0.0,64729.0,4800.2,1.7976931348623157e+308,20190507,308929920.0,5280.2,09:30:01,5280.2,316.0,5cd0df9b1135d30f8c049351,2019-05-07 09:30:03.584
3,20190507,4887.6,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.0,0.0,0.0,0.0,0.0,977506.6009852217,4875.2,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.0,0.0,0.0,0.0,0.0,1.7976931348623157e+308,1.7976931348623157e+308,,,4892.0,IC1905,4875.6,4320.2,4875.6,64525.0,4887.6,4810.0,0.0,64729.0,4800.2,1.7976931348623157e+308,20190507,396867680.0,5280.2,09:30:02,5280.2,406.0,5cd0df9d1135d30f8c0493b5,2019-05-07 09:30:03.808
4,20190507,4875.2,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.0,0.0,0.0,0.0,0.0,977343.2286995515,4875.0,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.0,0.0,0.0,0.0,0.0,1.7976931348623157e+308,1.7976931348623157e+308,,,4892.0,IC1905,4875.0,4320.2,4875.0,64497.0,4887.6,4810.0,0.0,64729.0,4800.2,1.7976931348623157e+308,20190507,435895080.0,5280.2,09:30:02,5280.2,446.0,5cd0df9d1135d30f8c04940d,2019-05-07 09:30:05.081
5,20190507,4876.0,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.0,0.0,0.0,0.0,0.0,977156.7901234567,4875.2,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,5.0,0.0,0.0,0.0,0.0,1.7976931348623157e+308,1.7976931348623157e+308,,,4892.0,IC1905,4875.0,4320.2,4874.8,64461.0,4887.6,4810.0,0.0,64729.0,4800.2,1.7976931348623157e+308,20190507,474898200.0,5280.2,09:30:03,5280.2,486.0,5cd0df9d1135d30f8c049492,2019-05-07 09:30:05.081
6,20190507,4875.2,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.0,0.0,0.0,0.0,0.0,976960.4485981308,4872.0,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,2.0,0.0,0.0,0.0,0.0,1.7976931348623157e+308,1.7976931348623157e+308,,,4892.0,IC1905,4875.2,4320.2,4872.4,64425.0,4887.6,4810.0,0.0,64729.0,4800.2,1.7976931348623157e+308,20190507,522673840.0,5280.2,09:30:03,5280.2,535.0,5cd0df9f1135d30f8c0494fb,2019-05-07 09:30:06.776
7,20190507,4872.0,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,13.0,0.0,0.0,0.0,0.0,976762.6072041166,4870.0,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,12.0,0.0,0.0,0.0,0.0,1.7976931348623157e+308,1.7976931348623157e+308,,,4892.0,IC1905,4872.0,4320.2,4870.0,64386.0,4887.6,4810.0,0.0,64729.0,4800.2,1.7976931348623157e+308,20190507,569452600.0,5280.2,09:30:04,5280.2,583.0,5cd0df9f1135d30f8c049556,2019-05-07 09:30:06.785
8,20190507,4873.2,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,5.0,0.0,0.0,0.0,0.0,976536.3944530046,4871.0,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.0,0.0,0.0,0.0,0.0,1.7976931348623157e+308,1.7976931348623157e+308,,,4892.0,IC1905,4873.8,4320.2,4870.0,64330.0,4887.6,4810.0,0.0,64729.0,4800.2,1.7976931348623157e+308,20190507,633772120.0,5280.2,09:30:05,5280.2,649.0,5cd0df9f1135d30f8c0495cd,2019-05-07 09:30:06.798
9,20190507,4871.0,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,8.0,0.0,0.0,0.0,0.0,976475.8020989505,4870.0,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,1.7976931348623157e+308,10.0,0.0,0.0,0.0,0.0,1.7976931348623157e+308,1.7976931348623157e+308,,,4892.0,IC1905,4871.0,4320.2,4870.0,64315.0,4887.6,4810.0,0.0,64729.0,4800.2,1.7976931348623157e+308,20190507,651309360.0,5280.2,09:30:05,5280.2,667.0,5cd0df9f1135d30f8c04962a,2019-05-07 09:30:06.804
